"dt","modelloop","model","n","av","sex","ind"
"09292022 230853",22,"av",300,0,0.00333333333333333,0
"09292022 230956",22,"ind",300,0.00333333333333333,0.00333333333333333,0.42
"09292022 231100",22,"sex",300,0,0,0.00333333333333333
"09292022 231202",22,"upd",300,0.00333333333333333,0,0.0733333333333333
"09292022 230853",23,"av",300,0.00666666666666667,0.00333333333333333,0
"09292022 230956",23,"ind",300,0.00333333333333333,0,0.443333333333333
"09292022 231059",23,"sex",300,0,0,0.00666666666666667
"09292022 231201",23,"upd",300,0,0.00666666666666667,0.0766666666666667
"09292022 230853",24,"av",300,0,0.01,0
"09292022 230957",24,"ind",300,0,0,0.383333333333333
"09292022 231100",24,"sex",300,0,0.00333333333333333,0.00666666666666667
"09292022 231202",24,"upd",300,0,0,0.07
"09292022 230853",25,"av",300,0.00333333333333333,0.00333333333333333,0.01
"09292022 230956",25,"ind",300,0,0.00666666666666667,0.443333333333333
"09292022 231059",25,"sex",300,0,0.00333333333333333,0
"09292022 231202",25,"upd",300,0.00333333333333333,0.00333333333333333,0.0933333333333333
"09292022 230853",26,"av",300,0.00333333333333333,0,0.01
"09292022 230957",26,"ind",300,0,0,0.413333333333333
"09292022 231100",26,"sex",300,0.00333333333333333,0.00333333333333333,0.00333333333333333
"09292022 231203",26,"upd",300,0,0,0.0266666666666667
"09292022 230854",27,"av",300,0,0,0.00333333333333333
"09292022 230958",27,"ind",300,0,0.00333333333333333,0.433333333333333
"09292022 231102",27,"sex",300,0.00666666666666667,0.00333333333333333,0
"09292022 231205",27,"upd",300,0,0,0.0466666666666667
"09292022 230855",28,"av",300,0,0,0
"09292022 230959",28,"ind",300,0,0.00333333333333333,0.376666666666667
"09292022 231103",28,"sex",300,0,0,0
"09292022 231207",28,"upd",300,0,0,0.0633333333333333
"09292022 230855",29,"av",300,0,0.00333333333333333,0.00333333333333333
"09292022 230959",29,"ind",300,0.00333333333333333,0,0.4
"09292022 231103",29,"sex",300,0.00333333333333333,0.00666666666666667,0.00333333333333333
"09292022 231207",29,"upd",300,0,0.00333333333333333,0.0733333333333333
"09292022 230855",30,"av",300,0.00333333333333333,0.00333333333333333,0.00333333333333333
"09292022 230959",30,"ind",300,0,0.00333333333333333,0.483333333333333
